"rok","odvetvi","prumerna_mzda","potravina","prumerna_cena"
2006,Těžba a dobývání,24017.500000000000,Chléb konzumní kmínový,16.12363999999996
2006,Těžba a dobývání,24017.500000000000,Jablka konzumní,30.71454666666648
2006,Těžba a dobývání,24017.500000000000,Jogurt bílý netučný,5.829359999999931
2006,Těžba a dobývání,24017.500000000000,Kapr živý,69.34977777777767
2006,Těžba a dobývání,24017.500000000000,Konzumní brambory,12.074919999999999
2006,Těžba a dobývání,24017.500000000000,Kuřata kuchaná celá,47.47375999999999
2006,Těžba a dobývání,24017.500000000000,Máslo,104.38782666666708
2006,Těžba a dobývání,24017.500000000000,Mléko polotučné pasterované,14.437840000000007
2006,Těžba a dobývání,24017.500000000000,Mrkev,14.409266666666609
2006,Těžba a dobývání,24017.500000000000,Papriky,35.310159999999954
2006,Těžba a dobývání,24017.500000000000,Pečivo pšeničné bílé,38.59642666666677
2006,Těžba a dobývání,24017.500000000000,"Pivo výčepní, světlé, lahvové",8.449613333333401
2006,Těžba a dobývání,24017.500000000000,Pomeranče,24.73317333333324
2006,Těžba a dobývání,24017.500000000000,Přírodní minerální voda uhličitá,7.687920000000014
2006,Těžba a dobývání,24017.500000000000,Pšeničná mouka hladká,7.40757333333334
2006,Těžba a dobývání,24017.500000000000,Rajská jablka červená kulatá,57.82961333333337
2006,Těžba a dobývání,24017.500000000000,Rostlinný roztíratelný tuk,69.4521199999994
2006,Těžba a dobývání,24017.500000000000,Rýže loupaná dlouhozrnná,21.28966666666671
2006,Těžba a dobývání,24017.500000000000,Šunkový salám,116.7744133333329
2006,Těžba a dobývání,24017.500000000000,Těstoviny vaječné,26.095533333333087
2006,Těžba a dobývání,24017.500000000000,Vejce slepičí čerstvá,23.494840000000355
2006,Těžba a dobývání,24017.500000000000,Vepřová pečeně s kostí,105.17778666666585
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Banány žluté,27.30463999999993
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Cukr krystalový,21.726613333333294
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Eidamská cihla,110.94665333333293
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Hovězí maso zadní bez kosti,166.33739999999716
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Chléb konzumní kmínový,16.12363999999996
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Jablka konzumní,30.714546666666433
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Jogurt bílý netučný,5.82935999999993
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Kapr živý,69.3497777777777
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Konzumní brambory,12.074919999999992
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Kuřata kuchaná celá,47.47375999999994
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Máslo,104.38782666666705
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Mléko polotučné pasterované,14.437840000000016
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Mrkev,14.409266666666609
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Papriky,35.31015999999996
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Pečivo pšeničné bílé,38.59642666666663
2006,"Ubytování, stravování a pohostinství",11105.750000000000,"Pivo výčepní, světlé, lahvové",8.449613333333408
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Pomeranče,24.73317333333326
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Přírodní minerální voda uhličitá,7.687920000000016
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Pšeničná mouka hladká,7.407573333333341
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Rajská jablka červená kulatá,57.82961333333336
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Rostlinný roztíratelný tuk,69.45211999999951
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Rýže loupaná dlouhozrnná,21.28966666666674
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Šunkový salám,116.7744133333329
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Těstoviny vaječné,26.095533333333044
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Vejce slepičí čerstvá,23.494840000000316
2006,"Ubytování, stravování a pohostinství",11105.750000000000,Vepřová pečeně s kostí,105.17778666666565
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507.250000000000,Banány žluté,27.304639999999928
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507.250000000000,Cukr krystalový,21.72661333333329
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507.250000000000,Eidamská cihla,110.94665333333278
